12	kerstboom	kerstboom	[kerst][boom]	N(soort,ev,basis,zijd,stan)	0.998248	O	I-NP	10	obj1
13	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	2	obj1
14	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	15	det
15	lakei	lakei	[lakei]	N(soort,ev,basis,zijd,stan)	0.998566	O	I-NP	13	cnj
16	in	in	[in]	VZ(init)	0.709677	O	B-ADJP	15	mod
17	pak	pak	[pak]	N(soort,ev,basis,onz,stan)	1.000000	O	I-ADJP	16	obj1

1	Foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.997420	O	B-NP	0	ROOT
2	van	van	[van]	VZ(init)	0.999697	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	4	det
4	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	2	obj1
5	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.995485	O	B-SBAR	4	mod
6	in	in	[in]	VZ(init)	0.999350	O	B-PP	1	mod
7	de	de	[de]	LID(bep,stan,rest)	0.999964	O	B-NP	8	det
8	keuken	keuken	[keuken]	N(soort,ev,basis,zijd,stan)	0.998540	O	I-NP	6	obj1
9	zijn	zijn	[zijn]	WW(pv,tgw,mv)	0.888889	O	B-VP	0	ROOT
10	zojuist	zojuist	[zo][juist]	BW()	0.997264	O	B-ADVP	11	mod
11	bereide	bereiden	[berei][d][e]	WW(vd,prenom,met-e)	0.965517	O	B-NP	12	mod
12	maaltijd	maaltijd	[maal][tijd]	N(soort,ev,basis,zijd,stan)	0.994737	O	I-NP	9	predc
13	laat	laten	[laat]	WW(pv,tgw,ev)	0.861827	O	B-VP	0	ROOT
14	zien	zien	[zie][n]	WW(inf,vrij,zonder)	0.783155	O	O	13	svp

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.999316	O	I-NP	0	ROOT
3	van	van	[van]	VZ(init)	0.999667	O	B-PP	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.999038	O	B-NP	5	det
5	brug	brug	[brug]	N(soort,ev,basis,zijd,stan)	0.999061	O	I-NP	3	obj1
6	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.866616	O	B-SBAR	5	mod
7	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	10	det
8	grote	groot	[groot][e]	ADJ(prenom,basis,met-e,stan)	0.990145	O	I-NP	10	mod
9	doorgaande	doorgaand	[doorgaand][e]	ADJ(prenom,basis,met-e,stan)	0.500000	O	I-NP	10	mod
10	straat	straat	[straat]	N(soort,ev,basis,zijd,stan)	0.998895	O	I-NP	11	obj1
