10	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	11	det
11	salontafel	salontafel	[salon][tafel]	N(soort,ev,basis,zijd,stan)	0.998077	O	I-NP	9	cnj
12	.	.	[.]	LET()	1.000000	O	O	11	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	bibliotheek	bibliotheek	[bibliotheek]	N(soort,ev,basis,zijd,stan)	0.999633	O	I-NP	4	obj1
3	,	,	[,]	LET()	1.000000	O	O	2	punct
4	boeken	boeken	[boek][en]	WW(inf,vrij,zonder)	0.500000	O	B-VP	0	ROOT
5	.	.	[.]	LET()	1.000000	O	O	4	punct

1	Vrienden	vriend	[vriend][en]	N(soort,mv,basis)	0.737705	O	B-NP	7	obj1
2	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.877193	O	B-SBAR	1	mod
3	samen	samen	[samen]	BW()	0.998251	O	B-ADVP	7	mod
4	in	in	[in]	VZ(init)	0.999214	O	B-PP	3	pc
5	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	6	det
6	restaureant	restaureant	[restaureëer][ant]	N(soort,ev,basis,zijd,stan)	0.918960	O	I-NP	4	obj1
7	zitten	zitten	[zit][en]	WW(inf,vrij,zonder)	0.852459	O	B-VP	8	cnj
8	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	0	ROOT
9	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	10	det
10	selfie	selfie	[selfie]	N(soort,ev,basis,zijd,stan)	0.783142	O	I-NP	11	obj1
11	maken	maken	[maak][en]	WW(inf,vrij,zonder)	0.972222	O	B-VP	8	cnj
12	.	.	[.]	LET()	1.000000	O	O	11	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	huis	huis	[huis]	N(soort,ev,basis,onz,stan)	0.996553	O	I-NP	0	ROOT
3	van	van	[van]	VZ(init)	0.944954	O	B-PP	2	mod
4	binnen	binnen	[binnen]	VZ(fin)	0.972222	O	B-ADVP	3	obj1
5	,	,	[,]	LET()	1.000000	O	O	4	punct
6	waar	waar	[waar]	VNW(vb,adv-pron,obl,vol,3o,getal)	0.963470	O	B-SBAR	4	mod
7	een	een	[een]	LID(onbep,stan,agr)	0.999907	O	B-NP	8	det
8	stukje	stuk	[stuk][je]	N(soort,ev,dim,onz,stan)	0.998282	O	I-NP	14	predc
9	van	van	[van]	VZ(init)	0.999225	O	B-PP	8	mod
10	de	de	[de]	LID(bep,stan,rest)	0.999878	O	B-NP	11	det
11	keuken	keuken	[keuken]	N(soort,ev,basis,zijd,stan)	0.999581	O	I-NP	14	su
12	te	te	[te]	VZ(init)	0.999976	O	B-VP	14	vc
13	zien	zien	[zie][n]	WW(inf,vrij,zonder)	0.805195	O	I-VP	12	body
14	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999662	O	B-VP	6	body
15	.	.	[.]	LET()	1.000000	O	O	14	punct

1	Woestijn	woestijn	[woestijn]	N(soort,ev,basis,zijd,stan)	0.882353	O	B-NP	0	ROOT
2	gebied	gebied	[gebied]	N(soort,ev,basis,onz,stan)	0.996413	O	I-NP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	4	det
4	auto	auto	[auto]	N(soort,ev,basis,zijd,stan)	0.999220	O	I-NP	5	cnj
5	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	1	mod
6	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	7	det
7	vrachtwagen	vrachtwagen	[vracht][wagen]	N(soort,ev,basis,zijd,stan)	0.998248	O	I-NP	8	cnj
8	en	en	[en]	VG(neven)	0.999408	O	B-CONJP	5	cnj
9	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	B-NP	8	cnj
10	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.780446	O	B-SBAR	9	mod
11	op	op	[op]	VZ(init)	0.996560	O	B-PP	14	mod
12	een	een	[een]	LID(onbep,stan,agr)	0.999286	O	B-NP	13	det
13	kameel	kameel	[kameel]	N(soort,ev,basis,zijd,stan)	0.998984	O	I-NP	11	obj1
14	rijdt	rijden	[rijd][t]	WW(pv,tgw,met-t)	0.998612	O	B-VP	10	body
15	.	.	[.]	LET()	1.000000	O	O	14	punct

1	Man	man	[man]	N(soort,ev,basis,zijd,stan)	0.672544	O	B-NP	0	ROOT
2	in	in	[in]	VZ(init)	0.996805	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.996633	O	B-NP	4	det
4	rivier	rivier	[rivier]	N(soort,ev,basis,zijd,stan)	0.998566	O	I-NP	2	obj1
5	in	in	[in]	VZ(init)	0.999525	O	B-PP	2	mod
6	de	de	[de]	LID(bep,stan,rest)	0.999643	O	B-NP	7	det
7	stad	stad	[stad]	N(soort,ev,basis,zijd,stan)	0.999576	O	I-NP	5	obj1
8	op	op	[op]	VZ(init)	0.995342	O	B-PP	7	mod
9	een	een	[een]	LID(onbep,stan,agr)	0.999286	O	B-NP	10	det
10	surfplank	surfplank	[surf][plank]	N(soort,ev,basis,zijd,stan)	0.998077	O	I-NP	8	obj1
11	.	.	[.]	LET()	1.000000	O	O	10	punct

