participant,image,modality,PID,length,attributives,adverbs,syllables,chars,consciousness_of_projection,self_reference_words,negations,pseudo_quantifiers,positive_allness,prepositions
ppt-42,img-1591932,spoken,0.5882352941176471,36,1,7,1.6111111111111112,4.694444444444445,1,0,0,1,0,4
ppt-42,img-1591977,spoken,0.5263157894736842,20,0,2,1.25,3.95,0,0,0,1,0,2
ppt-42,img-1592017,spoken,0.6470588235294118,18,0,2,1.6666666666666667,4.888888888888889,0,0,0,0,1,1
ppt-42,img-1592025,spoken,0.3333333333333333,7,1,0,1.4285714285714286,5.0,0,0,0,0,0,0
ppt-42,img-1592047,spoken,0.6086956521739131,23,1,3,1.565217391304348,5.260869565217392,0,0,0,0,0,1
ppt-42,img-1592079,spoken,0.48,28,2,2,1.5714285714285714,4.607142857142857,1,0,0,1,0,4
ppt-42,img-1592094,spoken,0.47619047619047616,22,0,3,1.5454545454545454,4.590909090909091,1,0,0,0,0,2
ppt-42,img-1592119,spoken,0.42105263157894735,19,1,0,1.894736842105263,5.473684210526316,0,1,0,0,0,2
ppt-42,img-1592133,spoken,0.5263157894736842,19,5,1,1.736842105263158,5.315789473684211,0,0,0,1,0,0
ppt-42,img-1592137,spoken,0.7,10,0,0,2.0,5.9,0,0,0,1,0,1
ppt-42,img-1592168,spoken,0.5454545454545454,33,1,3,1.4545454545454546,4.212121212121212,0,0,0,0,0,2
ppt-42,img-1592189,spoken,0.47368421052631576,19,0,2,1.368421052631579,4.7894736842105265,0,0,0,0,0,2
ppt-42,img-1592233,spoken,0.5555555555555556,18,4,2,1.5555555555555556,4.666666666666667,0,0,0,0,0,1
ppt-42,img-1592286,spoken,0.5,4,0,1,1.5,4.5,0,0,0,1,0,0
ppt-42,img-1592351,spoken,0.4,20,2,3,1.5,4.55,0,0,0,0,0,2
ppt-42,img-1592372,spoken,0.43478260869565216,23,2,1,1.5217391304347827,4.304347826086956,0,0,0,1,0,3
ppt-42,img-1592501,spoken,0.5555555555555556,19,2,1,1.6842105263157894,4.894736842105263,0,0,0,0,0,2
ppt-42,img-1592530,spoken,0.4666666666666667,17,2,0,1.2941176470588236,3.764705882352941,0,0,0,0,0,3
ppt-12,img-713888,spoken,0.45454545454545453,11,0,1,1.4545454545454546,4.545454545454546,0,0,0,0,0,3
ppt-12,img-713920,spoken,0.5,12,0,0,1.25,4.25,0,0,0,0,0,1
ppt-12,img-713936,spoken,0.3333333333333333,9,1,0,1.8888888888888888,5.444444444444445,0,0,0,0,0,2
ppt-13,img-107906,spoken,0.6666666666666666,13,0,2,1.3846153846153846,4.615384615384615,0,0,0,0,0,1
ppt-13,img-107930,spoken,0.4,11,1,0,1.4545454545454546,4.363636363636363,0,0,0,0,0,2
ppt-13,img-107933,spoken,0.47058823529411764,17,1,1,1.6470588235294117,4.411764705882353,0,0,0,0,0,1
ppt-13,img-1159318,spoken,0.3,11,0,1,1.4545454545454546,4.818181818181818,0,0,0,0,0,2
ppt-13,img-1159353,spoken,0.5384615384615384,15,0,1,1.5333333333333334,4.4,0,0,0,0,0,2
ppt-13,img-1159365,spoken,0.4444444444444444,10,1,1,1.2,3.5,0,0,0,0,0,1
ppt-13,img-1159408,spoken,0.6,11,0,1,1.6363636363636365,4.454545454545454,0,0,0,0,0,1
ppt-13,img-1159425,spoken,0.5263157894736842,20,0,0,1.35,3.85,0,1,0,0,0,3
ppt-13,img-1159427,spoken,0.5454545454545454,12,0,1,1.75,4.833333333333333,0,0,0,0,0,2
ppt-13,img-1159440,spoken,0.4166666666666667,12,2,0,1.5,4.75,0,0,0,0,0,1
ppt-13,img-1159463,spoken,0.4166666666666667,13,1,1,1.3076923076923077,3.769230769230769,0,0,0,0,0,1
ppt-13,img-1159486,spoken,0.5,9,1,0,1.8888888888888888,5.222222222222222,0,0,0,0,0,2
ppt-13,img-1159508,spoken,0.5454545454545454,11,2,0,1.3636363636363635,4.181818181818182,0,0,0,0,0,1
ppt-13,img-1159572,spoken,0.5384615384615384,14,1,1,1.3571428571428572,4.214285714285714,0,0,0,0,0,1
ppt-13,img-1159606,spoken,0.4444444444444444,9,0,0,1.4444444444444444,4.777777777777778,0,0,0,0,0,1
ppt-13,img-1159749,spoken,0.25,8,0,0,1.625,4.5,0,0,0,0,0,2
ppt-13,img-1159768,spoken,0.5,12,4,0,1.6666666666666667,4.25,0,0,0,0,0,2
ppt-13,img-1159819,spoken,0.42105263157894735,21,1,0,1.4761904761904763,4.476190476190476,1,0,0,0,0,4
ppt-13,img-1159967,spoken,0.4166666666666667,13,1,1,1.6923076923076923,4.923076923076923,0,0,0,0,0,2
ppt-13,img-1159973,spoken,0.36363636363636365,13,0,0,1.3846153846153846,4.230769230769231,0,0,0,0,0,2
ppt-13,img-1160062,spoken,0.3888888888888889,19,0,1,1.5263157894736843,4.526315789473684,0,0,0,0,0,1
ppt-13,img-1160140,spoken,0.38461538461538464,14,0,1,1.2857142857142858,3.857142857142857,0,0,0,0,0,1
ppt-13,img-1160189,spoken,0.5555555555555556,9,2,0,2.0,6.333333333333333,0,0,0,0,0,2
ppt-13,img-150273,spoken,0.5294117647058824,18,0,2,1.3333333333333333,3.888888888888889,0,0,0,0,0,1
ppt-13,img-150303,spoken,0.25,8,1,1,2.0,6.0,0,0,0,0,0,0
ppt-13,img-150432,spoken,0.45454545454545453,11,0,2,1.3636363636363635,4.545454545454546,0,0,0,0,0,0
ppt-13,img-150474,spoken,0.4444444444444444,20,0,3,1.45,4.35,0,0,0,0,0,3
ppt-13,img-1591781,spoken,0.36363636363636365,11,0,0,1.6363636363636365,4.909090909090909,0,0,0,0,0,1
ppt-13,img-1591838,spoken,0.5555555555555556,10,1,0,1.8,5.4,0,0,0,0,0,1
ppt-13,img-1591876,spoken,0.3333333333333333,13,0,2,1.7692307692307692,5.153846153846154,0,0,0,0,0,2
ppt-13,img-1591909,spoken,0.6428571428571429,17,0,2,1.411764705882353,4.705882352941177,0,0,0,2,0,3
ppt-13,img-1591932,spoken,0.4666666666666667,16,0,1,1.25,4.0,0,0,1,0,0,3
ppt-13,img-1591977,spoken,0.38461538461538464,14,0,0,1.4285714285714286,4.428571428571429,0,0,0,0,0,2
ppt-13,img-1592017,spoken,0.2,11,0,0,1.9090909090909092,6.363636363636363,1,0,0,0,0,1
ppt-13,img-1592025,spoken,0.5,6,0,0,1.3333333333333333,4.666666666666667,0,0,0,0,0,1
ppt-13,img-1592047,spoken,0.5384615384615384,14,1,1,1.5,5.071428571428571,0,0,0,0,0,2
ppt-13,img-1592079,spoken,0.4375,17,2,0,1.2352941176470589,3.411764705882353,0,0,0,0,0,1
ppt-13,img-1592094,spoken,0.47368421052631576,21,0,4,1.2857142857142858,4.190476190476191,0,0,0,0,0,3
ppt-13,img-1592119,spoken,0.6,10,0,0,1.5,4.2,0,0,0,0,0,1
ppt-13,img-1592133,spoken,0.5833333333333334,12,1,1,1.4166666666666667,4.666666666666667,0,0,0,0,0,0
ppt-13,img-1592137,spoken,0.47058823529411764,19,0,0,1.736842105263158,4.894736842105263,0,0,0,0,0,3
ppt-13,img-1592168,spoken,0.5,14,1,0,1.7142857142857142,4.857142857142857,0,0,0,0,0,2
ppt-13,img-1592189,spoken,0.47058823529411764,17,0,3,1.5294117647058822,5.117647058823529,0,0,0,0,0,1
ppt-13,img-1592233,spoken,0.4444444444444444,9,0,1,1.6666666666666667,6.111111111111111,0,0,0,0,0,0
ppt-13,img-1592286,spoken,0.3,11,0,0,1.4545454545454546,4.2727272727272725,0,0,0,0,0,2
ppt-13,img-1592351,spoken,0.25,12,0,0,1.6666666666666667,4.666666666666667,0,0,0,0,0,2
ppt-13,img-1592372,spoken,0.5454545454545454,11,0,0,1.6363636363636365,4.545454545454546,0,0,0,1,0,2
ppt-13,img-1592501,spoken,0.3684210526315789,19,1,0,1.5263157894736843,4.105263157894737,0,0,0,0,0,1
ppt-13,img-1592530,spoken,0.5555555555555556,19,0,2,1.3157894736842106,3.736842105263158,0,0,1,0,0,4
ppt-13,img-1592568,spoken,0.4444444444444444,9,1,0,1.5555555555555556,4.888888888888889,0,0,0,0,0,2
ppt-13,img-1592657,spoken,0.5,12,1,1,1.5833333333333333,4.666666666666667,0,0,0,0,0,1
ppt-13,img-1592807,spoken,0.4,11,1,0,1.2727272727272727,3.909090909090909,0,0,0,0,0,2
ppt-13,img-1592836,spoken,0.4,10,0,1,1.6,4.4,0,0,0,0,0,1
ppt-13,img-1592857,spoken,0.36363636363636365,13,0,0,1.1538461538461537,3.3846153846153846,0,0,0,0,0,2
ppt-13,img-1592874,spoken,0.42857142857142855,15,0,0,1.5333333333333334,4.466666666666667,0,0,0,0,0,3
ppt-13,img-1592934,spoken,0.45454545454545453,11,0,0,1.0909090909090908,4.090909090909091,0,0,0,0,0,2
ppt-13,img-1593041,spoken,0.42857142857142855,7,0,0,2.0,6.285714285714286,0,0,0,0,0,1
ppt-13,img-1593047,spoken,0.4444444444444444,9,1,0,1.4444444444444444,5.111111111111111,1,0,0,0,0,2
ppt-13,img-1593056,spoken,0.6470588235294118,17,0,0,1.3529411764705883,4.294117647058823,0,0,0,0,0,2
ppt-13,img-1593146,spoken,0.4166666666666667,14,1,0,1.3571428571428572,4.571428571428571,0,0,0,0,0,3
ppt-13,img-285807,spoken,0.375,19,0,2,1.2105263157894737,3.789473684210526,0,0,0,1,0,4
ppt-13,img-285851,spoken,0.5,6,1,0,1.1666666666666667,4.0,0,0,0,0,0,1
ppt-13,img-285905,spoken,0.4444444444444444,19,1,1,1.263157894736842,3.8421052631578947,0,0,0,0,0,3
ppt-13,img-285932,spoken,0.5833333333333334,12,0,1,1.3333333333333333,4.25,0,0,0,1,0,1
ppt-13,img-285933,spoken,0.3684210526315789,20,0,0,1.45,4.35,0,0,0,0,0,4
ppt-13,img-285948,spoken,0.4,15,0,0,1.3333333333333333,3.8666666666666667,0,0,0,0,0,2
ppt-13,img-285959,spoken,0.4,10,1,0,1.8,5.5,0,0,0,0,0,1
ppt-13,img-285992,spoken,0.4117647058823529,17,1,3,1.5294117647058822,4.470588235294118,0,0,0,0,1,0
ppt-13,img-286066,spoken,0.45454545454545453,13,0,0,1.4615384615384615,4.0,0,0,0,0,0,3
ppt-13,img-497950,spoken,0.3,11,0,0,1.5454545454545454,4.363636363636363,0,0,0,0,0,2
ppt-13,img-497974,spoken,0.4,5,0,0,1.6,5.6,0,0,0,0,0,1
ppt-13,img-498025,spoken,0.4166666666666667,12,1,0,1.5833333333333333,5.166666666666667,0,0,0,0,0,2
ppt-13,img-498108,spoken,0.4166666666666667,13,0,0,1.2307692307692308,4.0,0,0,0,0,0,3
ppt-13,img-498175,spoken,0.35714285714285715,15,2,1,1.5333333333333334,4.666666666666667,0,0,0,0,0,2
ppt-13,img-498258,spoken,0.45454545454545453,11,3,0,1.4545454545454546,4.545454545454546,0,0,0,0,0,2
ppt-13,img-498280,spoken,0.45,21,2,1,1.4285714285714286,4.0,0,0,0,0,0,4
ppt-13,img-498326,spoken,0.5,12,2,0,1.1666666666666667,4.166666666666667,0,0,0,0,0,2
ppt-13,img-498339,spoken,0.46153846153846156,13,1,0,1.5384615384615385,4.846153846153846,0,0,0,0,0,2
ppt-13,img-498398,spoken,0.6,15,0,0,1.4,4.333333333333333,0,0,0,0,0,2
ppt-13,img-61513,spoken,0.4782608695652174,25,0,2,1.36,3.92,0,0,0,0,0,4
ppt-13,img-712977,spoken,0.4,10,1,0,1.5,4.4,0,0,0,0,0,1
ppt-13,img-713024,spoken,0.3888888888888889,20,0,4,1.45,4.55,0,0,0,0,0,1
ppt-13,img-713075,spoken,0.5454545454545454,11,1,1,1.6363636363636365,4.7272727272727275,0,0,0,1,0,1
ppt-13,img-713174,spoken,0.46153846153846156,13,0,0,1.4615384615384615,5.0,0,0,0,0,0,3
ppt-13,img-713228,spoken,0.4117647058823529,18,0,1,1.1666666666666667,3.6666666666666665,0,1,0,0,0,2
ppt-13,img-713330,spoken,0.25,8,0,0,1.5,4.125,0,0,0,0,0,1
ppt-13,img-713371,spoken,0.5833333333333334,13,1,2,1.5384615384615385,5.076923076923077,0,0,0,0,0,1
ppt-13,img-713418,spoken,0.4,10,2,0,1.5,4.4,0,0,0,0,0,2
ppt-13,img-713450,spoken,0.7272727272727273,12,0,2,1.5,4.416666666666667,0,0,0,0,0,1
ppt-13,img-713593,spoken,0.5,15,0,1,1.6,4.733333333333333,0,0,0,0,0,2
ppt-13,img-713633,spoken,0.5,9,1,0,1.7777777777777777,4.888888888888889,0,0,0,0,0,2
ppt-13,img-713652,spoken,0.36363636363636365,12,0,0,1.5,4.583333333333333,0,0,0,0,0,2
ppt-13,img-713707,spoken,0.3076923076923077,14,0,0,1.2857142857142858,4.142857142857143,0,0,0,0,0,3
ppt-13,img-713760,spoken,0.4117647058823529,17,3,0,1.2352941176470589,3.9411764705882355,0,0,0,0,0,2
ppt-13,img-713765,spoken,0.2222222222222222,10,0,0,1.3,4.1,0,0,0,0,0,2
ppt-13,img-713769,spoken,0.3076923076923077,12,0,0,1.3333333333333333,4.0,0,0,0,0,0,1
ppt-13,img-713770,spoken,0.5555555555555556,9,3,0,1.6666666666666667,5.444444444444445,0,0,0,0,0,0
ppt-36,img-1593047,spoken,0.5,5,0,0,1.8,5.0,0,0,0,0,0,1
ppt-36,img-1593056,spoken,0.4,6,0,0,1.1666666666666667,3.1666666666666665,0,0,0,0,0,1
ppt-36,img-1593146,spoken,0.3333333333333333,9,0,0,1.3333333333333333,4.222222222222222,0,0,0,0,0,1
